,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2038,GD,GOOGL,WDC,LHX,QCOM,IRM,IPGP,CMS,PYPL,CFG,JKHY,WYNN,INTU,HUM,PCAR
2039,SHW,STT,DIS,GM,URI,KHC,MTCH,KEYS,VRSN,XTSLA,EQR,COO,WEC,KIM,CPB
2040,CB,TRV,O,UNH,NVDA,BKNG,PG,CERN,DOV,STE,HSY,LDOS,EMN,BAX,AES
2041,COF,MMC,RTX,XYL,CAT,UNP,MDT,LUMN,SIVB,MGM,ILMN,ZTS,REG,LW,TXT
2042,MDLZ,HPE,IEX,TJX,NLOK,ALL,WEC,KIM,GILD,EMR,MRO,WRB,GNRC,AKAM,PSX
2043,WRB,DISH,TWTR,GD,IBM,HD,PFG,SYF,ABBV,PM,TYL,XYL,ZTS,HES,CDW
2044,GNRC,CPB,SCHW,WYNN,CTAS,TYL,AMT,CHRW,TRMB,MMM,REGN,SEDG,EMR,TMO,EXPE
2045,PPL,HLT,KHC,KMB,LYB,CMS,CTRA,PNC,AFL,DPZ,ABC,LYB,IR,JNJ,FANG
2046,HII,SYF,HPQ,DAL,BAX,PLD,GIS,RTX,EMN,SYY,STZ,LKQ,SYK,OMC,MU
2047,PFG,VRTX,PLD,SWKS,FCX,CMS,RF,COST,ITW,CPT,RL,RSG,CMA,LYB,KO
2048,KMI,FIS,PGR,ADBE,SYY,NLSN,RJF,BDX,JKHY,PYPL,CF,IP,HST,AEP,MDT
2049,NOW,V,SEDG,HIG,ABT,RMD,AAP,MS,USD,TMUS,MCK,PFG,APTV,LVS,ZION
2050,HLT,WMB,TSN,BXP,ETN,ABC,FAST,ALLE,ANSS,CPB,AEE,URI,NWS,UNP,UBFUT
2051,GE,WYNN,CCI,EMR,KMI,ARE,LIN,DOW,IP,WDC,IBM,ENPH,DRE,NTRS,LMT
2052,LH,RJF,COP,APH,DOW,DOW,EQIX,BA,ETN,FTNT,GL,GLW,JKHY,HPE,AZO
2053,AJG,APA,LHX,BWA,MCD,FFIV,COST,AIG,ANSS,IPGP,EFX,EXPD,ADP,UNH,CTLT
2054,SLB,ALLE,PFE,PVH,CDAY,BMY,KEYS,PNR,COP,BK,ODFL,KMI,UBFUT,STZ,HPE
2055,TT,MCK,PSA,WST,VTR,FANG,WFC,FTNT,UAA,EMR,LNC,JNJ,FE,HST,APH
2056,AZO,GILD,NSC,FTNT,WY,KEY,L,ORCL,AMGN,EBAY,SBNY,UAL,EIX,ANSS,CLX
2057,DHR,BWA,BRKB,TGT,PPL,HSIC,AJG,EA,HAS,MTCH,HRL,SWKS,DPZ,KEY,COO
2058,BA,CDW,ATO,MDT,MOS,WST,PEAK,IRM,PSX,LYV,PFG,WYNN,DISH,WEC,RMD
2059,SPG,ALLE,DOV,PNR,HD,PNR,INTC,IEX,MLM,PKI,URI,V,LNC,PNC,FOX
2060,AES,ANET,INTC,FE,WBA,LHX,MOH,LNC,TPR,LHX,FCX,SIVB,WBA,FOXA,CNC
2061,CINF,LYV,OGN,EXC,GILD,ORLY,IPG,NDAQ,LHX,AON,MDT,IP,FRC,YUM,PKI
2062,PPG,MRK,SPGI,XEL,TSCO,AIG,FBHS,VLO,MTD,ES,AME,AME,ORLY,EPAM,GNRC
2063,TAP,ANSS,TECH,WYNN,REGN,PEG,SIVB,STT,AIZ,ANET,HES,IEX,UA,SIVB,CL
2064,BAX,UBFUT,CBRE,UHS,OMC,NCLH,DRI,RF,BAC,RSG,ALLE,CPB,EQR,APD,IPGP
2065,COST,SYF,MCK,VLO,CERN,GIS,ALLE,ORCL,DHI,IDXX,FB,CCI,VRSN,HLT,MS
2066,DLR,CSX,AZO,HLT,NOC,TRMB,BDX,CZR,ULTA,MKC,JNJ,CTXS,AMAT,ODFL,C
2067,LNT,A,BKR,GOOG,IR,RSG,VRTX,AAP,DLR,MSFT,MPC,ABMD,JKHY,XTSLA,CDNS
2068,DXC,BA,IR,FDX,DTE,ABC,CPRT,ALK,BA,PHM,UDR,LLY,CDNS,HCA,IEX
2069,STZ,ECL,LHX,WMT,LH,NKE,NTAP,CTXS,KEYS,GPN,MRK,UDR,SJM,BMY,FCX
2070,FB,PVH,PCAR,WEC,ARE,SYF,BRKB,AMD,MAS,PAYX,CINF,ETN,NWS,RMD,UHS
2071,CTSH,TECH,FCX,EW,PTC,IVZ,MMC,FLT,USD,JPM,SYK,KMI,CNP,KEYS,MA
2072,NXPI,MPC,ECL,MRO,CTRA,L,FITB,LH,CFG,AKAM,FCX,BRO,PSA,AKAM,LHX
2073,XYL,WDC,VTRS,PGR,BRKB,MS,WY,NTAP,CDW,ED,CTSH,NWSA,TMUS,A,EXPE
2074,BBWI,T,CEG,SWK,WYNN,GOOGL,NLOK,REG,EXPD,GIS,KMB,CL,WRB,KMX,LYB
2075,DOW,GPC,GIS,TWTR,FIS,CTAS,KMX,DPZ,HOLX,BAC,LH,SNPS,ETN,PAYC,BR
2076,GRMN,KEYS,FB,DXC,ABC,EW,KEY,NEE,FRC,SCHW,AMAT,HPQ,UNH,WM,STE
2077,HBAN,BRO,IPGP,TECH,MET,TXN,TYL,INTU,BSX,TTWO,SYY,DAL,STX,NWL,AIZ
2078,BAX,AME,EOG,SEDG,ETSY,ADP,MRO,CTAS,ED,TDY,PENN,BSX,OGN,TT,CMI
2079,GPN,KEYS,DVN,MTD,IVZ,FTNT,AES,MPWR,AVGO,BRO,LIN,DHR,AJG,HPQ,UPS
2080,IEX,FB,GLW,PG,LYV,AMGN,BA,EOG,WAT,CME,PARA,DGX,AIZ,JKHY,EOG
2081,ILMN,DFS,TMUS,PGR,ISRG,QCOM,MDLZ,APD,FB,RMD,IVZ,GRMN,LOW,HIG,ESS
2082,TDG,MOH,CZR,FOX,KHC,FRT,VRSK,EQR,HD,HAS,CF,WMT,SWK,MMC,AMAT
2083,NFLX,MSI,CHRW,EA,WM,EVRG,MLM,CDAY,MTD,HON,KMX,IPGP,DRE,KMX,VRSN
2084,PYPL,DVN,MOH,TFX,ROP,ADM,CBOE,TSLA,HPQ,CRL,WMB,NWS,CVX,T,F
2085,PAYX,WST,TRV,MKC,WFC,UAL,LIN,TSCO,LIN,BKR,AMZN,TTWO,AMT,KHC,DHR
2086,TMUS,GOOGL,CI,CTXS,GOOG,ABC,PSX,JCI,USB,BBY,PFE,VMC,CE,AZO,WEC
2087,UAA,TXN,AVGO,AFL,IEX,DHI,DISH,WRK,MMM,ADM,TXT,TECH,D,MRK,EXR
2088,KIM,SNA,WAB,HPE,WM,BBY,DFS,TRV,SIVB,HLT,QRVO,PH,CMCSA,SJM,EA
2089,IPGP,DTE,MHK,L,IPGP,CRM,LMT,KO,PNW,NI,ABMD,FE,JCI,PLD,AVB
2090,CZR,CZR,ALL,ZBH,TPR,GD,AZO,CTXS,VTR,EFX,TMUS,CZR,SBNY,LEN,ETN
2091,BLL,IEX,AAP,HLT,WMB,AVB,VTR,CMCSA,NOC,EA,NCLH,EPAM,SLB,MLM,ARE
2092,CDNS,CZR,NTRS,TYL,DVN,PEG,EQR,FAST,CME,ODFL,COST,NFLX,SWK,DISH,UAL
2093,EFX,HES,GNRC,APD,PSX,RL,PXD,AMZN,HOLX,JKHY,ABC,CLX,EFX,ESS,ZBH
2094,GWW,HPQ,MET,MAS,MSCI,AKAM,NRG,VRSK,AJG,XTSLA,QRVO,ABMD,IBM,SRE,BBWI
2095,NLOK,SPG,TGT,HON,CNC,ECL,UNP,DXCM,DE,BIO,URI,JKHY,PEP,ATVI,D
2096,RCL,PFE,CL,ISRG,ROL,HIG,FMC,EA,MRK,ENPH,NOC,LMT,ABC,VRSK,LEN
2097,STZ,IT,ALLE,RL,DOW,WHR,CCI,BBY,SWK,DE,MPWR,CFG,HOLX,CTLT,REGN
2098,KMI,EXC,SWKS,IDXX,GPC,UHS,TTWO,TT,AMAT,APTV,ADI,FE,MRO,ANSS,ZBH
2099,NOC,CMG,CDAY,NOW,MMC,FFIV,AAPL,NEM,CPRT,UDR,DRE,MOH,D,PWR,BBWI
2100,DXCM,JKHY,HD,LYB,DHI,VTR,WYNN,FB,EL,JPM,MAR,GL,PPG,TXT,WST
2101,JCI,CL,BKNG,SNA,XOM,CHTR,PENN,MAR,LOW,KLAC,HES,FE,SEE,IT,ULTA
2102,VFC,NWSA,QCOM,LNT,TDY,CF,ANET,TMO,VFC,ALB,GE,DLR,TRMB,MMM,EPAM
2103,LH,MTD,HSIC,PARA,KLAC,BKR,VRSK,CDNS,PENN,DVN,CRL,ADBE,RMD,FRC,SNPS
2104,NKE,QRVO,CTSH,HAL,HBAN,CERN,DG,ESS,BA,ITW,PGR,GIS,GPN,CLX,EFX
2105,VMC,FMC,TER,ADSK,CZR,RCL,HUM,PSA,FAST,QCOM,LNT,PM,BIIB,NEM,WBD
2106,CHD,CDAY,PLD,APH,CME,TECH,VZ,LUMN,ETR,AMD,LUV,GRMN,NDSN,PKI,NKE
2107,ALLE,DD,BSX,JCI,CMA,UAL,PVH,LDOS,STX,CCI,AVY,AMZN,AIG,MCD,SHW
2108,AMZN,SRE,CVX,TFX,BAC,AMCR,CERN,XEL,DVN,CAG,TXN,HRL,ULTA,CVS,PFG
2109,PCAR,CVX,WRK,VNO,ENPH,CDAY,RSG,CSX,CPB,MSFT,TTWO,JNJ,LIN,RMD,WEC
2110,MMM,AWK,AZO,ICE,ZION,MHK,EQR,CTAS,MHK,BIO,PAYX,ROK,ADSK,NSC,HIG
2111,MCHP,HUM,COP,ABT,TPR,ABC,WELL,IPG,KEYS,BBWI,BBWI,DOV,LEN,IT,AMP
2112,TFX,SBAC,RTX,SIVB,ADP,ZTS,LKQ,CZR,MCD,DE,AZO,HAS,NLSN,KLAC,AOS
2113,NI,PARA,CB,KMI,CL,NVR,ARE,SRE,URI,PYPL,NVR,FDS,ANTM,NUE,DOV
2114,LKQ,UA,PEAK,BFB,K,URI,CI,WAT,JKHY,EW,AMT,VLO,AME,UHS,BAX
2115,DG,UHS,BA,ZBH,DHI,CINF,IFF,CL,PYPL,APH,MSFT,BBY,WMB,AAL,WHR
2116,EMN,GILD,BWA,AJG,MRO,BXP,AEP,VTR,MCD,ADBE,RHI,CDNS,PAYX,CMS,CTAS
2117,AAP,CHRW,BFB,EQR,GRMN,LYV,AME,STT,CB,MSFT,AEE,WAT,DRI,BBY,MNST
2118,CMCSA,TDG,SYK,MNST,TT,TPR,IP,TXN,MGM,LKQ,MMC,MCHP,CRL,DRE,AWK
2119,WELL,CNP,TDY,ADSK,UPS,SO,EMN,IFF,WDC,LNT,WST,CMS,C,DD,IVZ
2120,TYL,NXPI,AOS,CVS,AVGO,EW,AIG,TYL,CRM,PPL,NOC,EIX,CPT,SIVB,SYF
2121,ALL,TFX,BFB,WMB,CTXS,PEP,O,ATO,TSLA,ORCL,HPE,CAG,EXC,TGT,HAS
2122,MSCI,MKC,EPAM,ARE,FE,AMD,CMI,ADI,NWL,HWM,NDSN,ANET,SEDG,BA,MAR
2123,DXC,NLOK,QRVO,DVN,STT,CMCSA,REG,DIS,SWKS,GLW,BRO,CHD,DG,RL,NEE
2124,SHW,TER,PFG,BSX,EA,CTAS,ABMD,FDX,VTR,GD,GPC,HRL,BAX,HPQ,NI
2125,GOOGL,DRI,DGX,PKI,LNT,CAH,DVN,TECH,NWS,GM,HLT,CLX,TSN,NWSA,CSCO
2126,GS,KR,GIS,HSIC,CRL,AAP,BRO,TDY,BFB,WYNN,AVGO,TROW,VTR,HLT,TT
2127,SLB,CSCO,BRKB,DVA,COP,KMI,UDR,ENPH,NXPI,PNC,DRE,NSC,ARE,HSY,UAL
2128,MET,XEL,TAP,MPWR,NVDA,DHI,TSLA,BBY,NWL,CTXS,DUK,YUM,IFF,ORCL,NWSA
2129,ES,DAL,AWK,EVRG,NLOK,FIS,DAL,MGM,KO,BA,XOM,HAL,CSCO,DAL,SLB
2130,ALK,RCL,AVB,BEN,PTC,CSCO,ED,AMCR,HST,UNP,MRO,COST,XYL,BEN,MPC
2131,PKI,RTX,TGT,MRO,IQV,HPE,AMT,USB,PTC,TROW,EMR,REGN,PPL,UAA,WBD
2132,ETSY,IFF,INTU,EQR,MPC,OMC,RTX,MSCI,HSY,PAYX,NLSN,ABBV,UA,K,DPZ
2133,VTRS,KEY,NWSA,PAYX,MMC,PG,LHX,WFC,WMT,TWTR,DPZ,CTRA,QCOM,BMY,TWTR
2134,SYK,ATO,POOL,FCX,LOW,HAL,LVS,POOL,CTSH,TRMB,CB,MCK,CE,WEC,GL
2135,ROK,AJG,BR,OTIS,ZION,CARR,HAL,AIG,SPG,CEG,EOG,KMB,BIO,OXY,BIO
2136,STX,PKG,GM,V,EIX,UHS,EW,IQV,CSCO,CVX,GLW,ROL,SBAC,LNC,PVH
2137,CPB,MHK,FB,MOS,ODFL,MCHP,IEX,PENN,EMR,GNRC,WST,WMT,AXP,TT,DPZ
2138,CE,MS,XEL,PPG,LIN,JBHT,XTSLA,HAL,OMC,NWS,YUM,EFX,CDNS,CSCO,ADM
2139,CTLT,NFLX,NOW,HII,BR,VNO,MS,ESS,WBD,AMZN,ADP,DPZ,KMX,MSI,URI
2140,CPRT,PVH,PH,NTAP,ALK,LUV,ODFL,ETR,CPT,NDAQ,WHR,DE,FANG,FTV,CTXS
2141,OMC,PPL,PGR,COST,ADM,TECH,STT,IP,ROK,GL,GNRC,DXC,ED,RHI,PARA
2142,FITB,TTWO,JPM,DISH,AMGN,TDG,EXPE,XRAY,FDS,ETR,APA,ODFL,SEDG,BRKB,BLL
2143,FDS,PKI,WBD,PENN,LVS,CDAY,SLB,NVR,PGR,VRSK,HST,HST,XTSLA,SWK,UA
2144,SCHW,ACN,PVH,MOS,ICE,AVGO,PENN,ALB,CMG,SWK,BRKB,HCA,NVR,DRI,ANSS
2145,FTNT,LYB,CNC,DAL,UAA,EVRG,KEYS,NWS,VTRS,TMUS,PAYX,MS,ROK,NLOK,ROL
2146,CHRW,AMGN,PSA,VRTX,KHC,RCL,RHI,HPE,MSCI,SHW,CMA,NXPI,HCA,TFC,ESS
2147,AME,VFC,NLSN,NWSA,CDNS,EL,RJF,WTW,HSIC,AMP,DVN,EPAM,GOOGL,KO,BLK
2148,SO,NTAP,PFG,PCAR,GS,CDNS,ETSY,LRCX,GLW,PGR,EXPE,XYL,EL,HAL,ADM
2149,PAYX,ALLE,NWSA,SNA,EXR,CCI,HIG,TGT,DVN,FB,NOW,MNST,NEM,NUE,KMI
2150,PH,SNA,KO,DIS,CTVA,SEE,EIX,TROW,XYL,AVY,ZBRA,ABMD,C,INTU,NVDA
2151,DHR,AME,LHX,TRMB,SWKS,ESS,AIG,CMA,KEY,MTB,ROK,HWM,BSX,EIX,SNA
2152,SYK,ZBRA,AVGO,SCHW,JCI,MMC,CDW,HSY,LNT,APH,AFL,AOS,RTX,MCD,ORCL
2153,CARR,BWA,CMI,PRU,GPC,BAX,PPG,FANG,WBD,FDX,PFE,FE,CAG,QRVO,IQV
2154,TRMB,DE,GLW,EXR,BFB,TSCO,PAYX,PM,WEC,MKC,PRU,INTC,AES,RF,AIZ
2155,WBA,BEN,EMR,WBA,FMC,PHM,VZ,NDAQ,DRI,ANTM,EQIX,DTE,WAT,SIVB,MHK
2156,MS,EMN,FOX,HLT,FBHS,BR,NTRS,RHI,MSI,LUV,WY,HRL,HSY,CTSH,BIIB
2157,EOG,WM,MSI,PEAK,APH,FE,JKHY,AMT,STX,HSY,BAX,SNPS,PEP,MRNA,USB
2158,GILD,LVS,ODFL,PWR,CBRE,EXC,SBAC,HLT,EXPE,CCL,EL,PKI,CTSH,MTCH,NEM
2159,INTC,MMC,ICE,CINF,ABBV,MRK,CAT,MRK,NLSN,TJX,LIN,LH,AVB,LOW,ALGN
2160,CAT,TGT,SBUX,AES,CHTR,APA,BXP,J,UHS,LLY,ANSS,AJG,GE,LRCX,NWSA
2161,VMC,WBA,LIN,TFC,BIIB,MOS,ATVI,CHTR,SRE,XTSLA,CNC,TYL,SCHW,TFC,CARR
2162,CF,DLR,DLR,WMB,UA,REG,DOW,REG,CCI,MNST,GRMN,LEN,AVB,AMGN,TT
2163,TJX,DISH,FIS,PAYC,CEG,WMT,OGN,KMB,PEP,BXP,HAS,WRB,OKE,LMT,HST
2164,UHS,WELL,MTCH,GM,STT,FBHS,MPC,LH,HES,AMCR,ANTM,LYB,MU,UNP,JKHY
2165,NWS,FTV,URI,FLT,DHR,NWS,SPG,MPWR,GL,REGN,VTR,ALLE,AAL,CVX,GLW
2166,AAP,BXP,DAL,LNC,DGX,KEY,BIIB,TAP,XYL,MKTX,BLL,FTNT,IDXX,PAYC,CDNS
2167,HII,TTWO,MRNA,ZBRA,RL,CPRT,APTV,PNR,BMY,ZION,DG,MRK,SYK,HII,UNP
2168,SWKS,ORCL,WFC,DOV,MCK,WST,SIVB,J,LNT,OGN,IEX,D,ZION,PPG,DVA
2169,BLL,NWSA,RL,LUMN,IT,PH,ALL,CTRA,LUV,ODFL,DFS,AJG,TDG,PNW,MO
2170,MCHP,DGX,BMY,GLW,IEX,NXPI,GPC,TWTR,CPB,DE,MRK,CMCSA,TT,MHK,PGR
2171,AON,TRMB,LRCX,HUM,SHW,PTC,CME,QRVO,WMT,HBAN,PHM,NDAQ,CTXS,IDXX,SYK
2172,CTRA,CARR,ADM,DISH,CCI,ABT,DISH,APTV,BFB,TROW,TGT,NCLH,GD,XYL,TFX
2173,AAL,REGN,DXC,MAS,HST,NFLX,PPG,NOW,WRB,RE,WELL,MSCI,RHI,GOOG,WAB
2174,LVS,MGM,RHI,AMP,WEC,MGM,IDXX,CFG,JNJ,BK,IDXX,DVN,NI,CPRT,NEM
2175,AMZN,LW,CMCSA,IRM,ROP,GS,GRMN,ILMN,BBY,BRKB,F,MCD,MGM,DXCM,VFC
2176,HAL,ADM,LNT,HCA,D,EQIX,DAL,HON,FTNT,ADP,CERN,PLD,JNPR,WDC,FTV
2177,WMT,KHC,PLD,TAP,CBOE,LH,O,DTE,CTRA,DXC,FMC,FRC,FMC,CMI,IDXX
2178,MCD,PYPL,OTIS,CNC,COF,SBNY,NDSN,DRE,GD,MA,EOG,FITB,SPG,TT,MAA
2179,GLW,TSCO,GOOG,CTRA,L,ANTM,VNO,APD,DLR,DE,MKC,RE,UA,RHI,HD
2180,SPG,POOL,SNA,PRU,PHM,CPB,FDS,AOS,AKAM,CMI,HIG,PARA,DISH,USD,VTR
2181,HSY,SBUX,NUE,KEYS,ZTS,WMB,KMB,IBM,MET,HST,CHRW,STZ,CTLT,CI,MTB
2182,LMT,FCX,ANET,AAPL,USB,UDR,GE,MSI,DG,DOV,VRSN,GPC,ESS,DXC,MRO
2183,LDOS,NCLH,OXY,WBA,NKE,HWM,AMCR,NVDA,PXD,AWK,ENPH,TDY,IBM,DOW,CMG
2184,BMY,IR,MA,BEN,GOOGL,F,WAT,CINF,FAST,HST,HPQ,GIS,ZBRA,ETN,AEE
2185,ULTA,CTRA,FLT,ADBE,AVY,DPZ,SPGI,KEY,IRM,BXP,STZ,FBHS,CDW,BKR,TEL
2186,MKC,VFC,SPG,NDSN,KR,RF,SEE,CEG,CL,WHR,SWKS,NEE,PNC,JNJ,LKQ
2187,SYK,PKI,HPQ,PM,CAT,TDY,EMN,FANG,K,OXY,KO,FAST,BLK,COP,TTWO
2188,BSX,AJG,CMI,AIG,ETR,PFE,DVA,APD,ADI,EFX,BR,ROK,LLY,UNH,ENPH
2189,NDSN,TRV,ULTA,DHI,STX,MOS,AAL,BIO,ESS,AOS,MAR,DHI,JBHT,WBD,UHS
2190,CAH,WDC,RF,FBHS,OXY,CAT,NOC,TT,V,AMCR,LMT,COP,CME,PRU,APTV
2191,HSY,PEG,WMT,PPL,IRM,ADP,DHI,SBNY,QCOM,TXT,PYPL,TT,SHW,MTB,KR
2192,REG,BK,QRVO,LLY,CPB,MTCH,WMT,PAYC,FMC,WM,NUE,SRE,AMGN,RCL,EW
2193,CPB,CAT,NLSN,GM,ATVI,LIN,PVH,RHI,LNC,NEE,HAS,VRSK,LUMN,ABBV,ROST
2194,MSFT,HPQ,WDC,UDR,AMT,FAST,KO,RCL,WRK,EW,JNPR,INCY,V,ULTA,CTSH
2195,HAL,DVA,SYF,SRE,VRSK,HRL,PAYC,AXP,DXC,BSX,PRU,PHM,CF,AJG,ROST
2196,FB,WDC,ALLE,NXPI,PEG,BSX,DLR,MAS,DXCM,AKAM,BAX,LH,SBUX,L,PSA
2197,T,UNP,LW,MCHP,MDLZ,MTCH,SPGI,PEG,WTW,MNST,AAL,EA,PH,CMI,PRU
2198,TSLA,NXPI,IQV,BEN,LYB,IVZ,MMC,FIS,AMT,ESS,J,CF,ULTA,BWA,CSCO
2199,PHM,NTAP,OTIS,FTV,NDSN,LDOS,USB,VFC,J,LHX,VNO,ALB,DLR,NCLH,CPB
2200,XEL,ANET,ABMD,CHTR,CNP,PG,SPG,MS,HSIC,AKAM,FOX,XEL,ALK,AMAT,FISV
2201,PH,XOM,KEY,ZBH,BSX,MA,HOLX,AME,IVZ,HSIC,HON,CB,AAPL,NLOK,WMT
2202,ALL,TPR,MDLZ,MKTX,NI,AVGO,PNR,WAB,STZ,JBHT,IPG,ETR,ESS,PENN,MGM
2203,SBNY,T,WRB,OGN,BA,KLAC,EIX,CSX,GS,ABBV,GD,MDT,ABC,EMN,NWL
2204,AES,HD,VTR,DRI,FIS,ADP,NVDA,SEDG,CF,INCY,LUMN,CTVA,BKR,RJF,HST
2205,NSC,TSCO,NDSN,VRSK,MU,KEY,NWSA,CTXS,PTC,CTVA,HOLX,NKE,HWM,CFG,CDAY
2206,KEYS,EXPE,AEP,ETR,MRNA,DRI,SEE,TECH,UHS,SEE,NTRS,AWK,CCI,T,WRB
2207,AWK,COST,LOW,CTAS,JNPR,CFG,EMR,RHI,BBY,GLW,BIO,DVA,VRSN,BWA,L
2208,TSN,NKE,PAYX,ABMD,LVS,FMC,WAT,BFB,BA,BRO,CME,TRMB,BKNG,VMC,ALLE
2209,WAB,MKTX,CE,CLX,ILMN,JNPR,CPRT,ALL,TRV,SNPS,CHRW,CMCSA,HBAN,PKG,COST
2210,CNC,PEAK,SBUX,UA,ECL,IR,MPC,TEL,CPRT,CCI,VTRS,NCLH,MTB,OKE,VFC
2211,HLT,CTRA,MRNA,IVZ,CBRE,CAT,ITW,LNT,KMX,PEP,AAPL,FBHS,NLOK,SBNY,SO
2212,BLL,VLO,UAA,AAP,DGX,DXC,BMY,RF,PCAR,DRI,EQR,ARE,PVH,PPG,CCL
2213,HSY,IPG,AME,HON,PEG,CVS,STE,CMI,NRG,CSX,NTAP,WBA,DLR,TSN,STE
2214,MCD,PEG,UA,KEY,MA,PNW,INTC,TMO,WMT,SBNY,DHR,DRE,REG,ESS,MGM
2215,AXP,GPC,CLX,STX,WHR,CARR,MOH,VMC,COP,USD,AMCR,DFS,BWA,ACN,ABC
2216,AMP,CINF,CMG,AWK,FBHS,BEN,CL,WBD,IT,WST,UDR,AFL,AZO,ALLE,V
2217,FCX,IBM,KMX,AAPL,MRK,KEY,PH,PAYX,XRAY,QRVO,VNO,CINF,FAST,EA,ZBRA
2218,ULTA,HAL,BDX,ANTM,ORLY,CMG,QRVO,XTSLA,WEC,RF,PAYC,ITW,GRMN,ROL,SJM
2219,LKQ,LYV,BIIB,MAR,NI,CPRT,ORCL,BBWI,UNP,PHM,L,LYV,BBWI,CPT,CVS
2220,NTAP,DLTR,PPL,FRC,WM,PARA,HES,HII,STX,AMZN,STE,TGT,AMGN,JKHY,HD
2221,GOOGL,MDLZ,TER,TGT,BAC,NEE,TSLA,FOX,AEE,HUM,LUV,MPC,WAT,CPRT,GE
2222,TDG,TSLA,ETSY,HES,ORCL,ALB,MKTX,MHK,WRB,CLX,IEX,LUMN,POOL,NOW,XRAY
2223,FOXA,AIZ,XOM,TGT,ED,LW,RMD,PGR,NSC,SNA,ARE,HUM,BDX,ADSK,IBM
2224,GD,PWR,RSG,VRSK,APH,IQV,WAT,CBRE,MTD,LOW,ITW,CE,BLL,MRO,ES
2225,AFL,MA,HSIC,TER,WMT,CTVA,APTV,WY,LLY,TDY,APH,PXD,FTNT,EXR,CF
2226,ADM,WTW,V,FOX,RF,OTIS,IPGP,NTAP,IEX,MRK,ICE,ABMD,KEY,TJX,RTX
2227,MDT,SCHW,BSX,WDC,AEP,ETSY,NEM,FRT,AES,WFC,GE,AIG,SLB,ECL,BEN
2228,DTE,HWM,SLB,XRAY,CVS,STZ,AAL,DISH,NOC,VTRS,AZO,TECH,ZION,AAPL,DUK
2229,NLOK,NUE,CEG,MMC,MOH,RF,DHI,EPAM,DTE,BSX,PCAR,HUM,SYF,LEN,NTRS
2230,ATO,BAC,SPGI,AXP,CTLT,ADM,CZR,RL,ACN,QCOM,NKE,EPAM,CCI,IPGP,CVX
2231,GOOGL,LYV,XTSLA,IPGP,AAP,IQV,MGM,LW,ADBE,CEG,RMD,ZTS,IQV,NEM,SJM
2232,UHS,NVDA,IP,LOW,TTWO,KO,UNH,LMT,ABBV,NRG,NDAQ,TJX,MRK,CB,O
2233,PGR,TAP,TTWO,ESS,GOOGL,BAC,CBOE,LYV,IPG,ILMN,ALL,PENN,UAL,AMP,FDX
2234,IPGP,VTRS,NSC,TRMB,LLY,FITB,WMB,BMY,UBFUT,EW,MRNA,AAPL,JKHY,NI,VTRS
2235,IEX,BBWI,PTC,CB,BFB,ORCL,PSX,ABBV,ZBH,SO,PPG,NOW,DISH,KEYS,ROL
2236,CHRW,SBUX,MCHP,CMCSA,EXPE,LKQ,INTC,CAT,ANSS,PAYX,TGT,BIO,CAG,SBNY,EA
2237,INCY,HLT,WAB,STX,APA,KR,CTXS,AKAM,COP,CRM,GM,PFE,TFC,SLB,NLSN
2238,CNC,STE,CPT,UAA,MCD,NOW,RMD,BKNG,OGN,GPC,LNC,PLD,TSN,MDLZ,BR
2239,UAA,LOW,AMAT,CBRE,BBWI,DPZ,HD,PHM,AES,WRB,RL,CAT,FMC,RSG,SHW
2240,FISV,DAL,LKQ,COF,TECH,AMT,STE,GL,MDT,CVX,MRNA,BWA,TRV,PEG,DLTR
2241,BSX,HLT,CL,MKC,WEC,O,NRG,AME,PWR,NLOK,HWM,NEM,EL,DVN,PCAR
2242,HLT,EQIX,AON,SPG,ABC,SBAC,LVS,AON,TRV,PFG,ISRG,PKG,CNP,MET,APA
2243,JKHY,ETSY,ANET,HWM,COP,NFLX,NFLX,GD,TECH,ES,T,NXPI,BLL,PPL,SCHW
2244,SBUX,TFC,NDAQ,ISRG,BRKB,AJG,AZO,BIIB,LW,SJM,PFE,FB,TFC,URI,CTSH
2245,DRI,OXY,CMS,V,PKG,BRO,MDLZ,PVH,XTSLA,PEP,DHI,TYL,NUE,MPC,RHI
2246,PWR,NOC,DLR,BMY,DRE,NWL,COF,UAL,ALB,DAL,FDX,FE,WMT,PFG,AIZ
2247,SRE,IRM,BBY,BXP,NSC,XEL,EL,CFG,BAX,NOW,LYV,AMD,BXP,TDY,DXC
2248,MNST,GILD,ETSY,NTAP,DIS,TSLA,MU,AVB,ISRG,QCOM,POOL,NEE,CVS,CMS,OGN
2249,MTCH,KR,SBNY,FRT,K,EQIX,MCK,DVA,AMD,WST,ZBH,CPB,SYY,MRK,AVY
2250,BAC,CAT,UAL,HBAN,IPGP,PSA,AKAM,FMC,BEN,XTSLA,FRT,MKTX,CINF,TAP,ORCL
2251,DTE,GOOGL,AIG,KR,CPRT,WRB,KMX,ANET,ORCL,FOX,AEP,CHRW,UNH,MTCH,ALGN
2252,YUM,CERN,ROL,CHTR,FISV,IPGP,EXR,VTR,MPWR,PM,SCHW,HII,SNA,CL,LEN
2253,SBUX,CMS,JPM,PSX,PWR,PAYX,GIS,UHS,PFE,CMS,IT,KMI,CCL,FOX,ATVI
